route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9948,2,6174831,the Richmond District,0,102,121434
9948,2,6174832,the Richmond District,0,108,121434
9948,2,6174833,the Richmond District,0,101,121434
9948,2,6174834,the Richmond District,0,106,121434
9948,2,6174835,the Richmond District,0,102,121434
9948,2,6174836,the Richmond District,0,108,121434
9948,2,6174837,the Richmond District,0,101,121434
9948,2,6174838,the Richmond District,0,104,121434
9948,2,6174840,the Richmond District,0,106,121434
9948,2,6174841,the Richmond District,0,102,121434
9948,2,6174842,the Richmond District,0,113,121434
9948,2,6174843,the Richmond District,0,108,121434
9948,2,6174844,the Richmond District,0,105,121434
9948,2,6174845,the Richmond District,0,101,121434
9948,2,6174846,the Richmond District,0,107,121434
9948,2,6174847,the Richmond District,0,104,121434
9948,2,6174848,the Richmond District,0,103,121434
9948,2,6174849,the Richmond District,0,106,121434
9948,2,6174850,the Richmond District,0,109,121434
9948,2,6174851,the Richmond District,0,102,121434
9948,2,6174852,the Richmond District,0,113,121434
9948,2,6174853,the Richmond District,0,112,121434
9948,2,6174854,the Richmond District,0,108,121434
9948,2,6174855,the Richmond District,0,105,121434
9948,2,6174856,the Richmond District,0,111,121434
9948,2,6174857,the Richmond District,0,101,121434
9948,2,6174858,the Richmond District,0,107,121434
9948,2,6174859,the Richmond District,0,104,121434
9948,2,6174860,the Richmond District,0,110,121434
9948,2,6174861,the Richmond District,0,103,121434
9948,2,6174862,the Richmond District,0,106,121434
9948,2,6174863,the Richmond District,0,109,121434
9948,2,6174864,the Richmond District,0,102,121434
9948,2,6174865,the Richmond District,0,113,121434
9948,2,6174866,the Richmond District,0,112,121434
9948,2,6174867,the Richmond District,0,108,121434
9948,2,6174868,the Richmond District,0,105,121434
9948,2,6174869,the Richmond District,0,111,121434
9948,2,6174870,the Richmond District,0,101,121434
9948,2,6174871,the Richmond District,0,107,121434
9948,2,6174872,the Richmond District,0,104,121434
9948,2,6174873,the Richmond District,0,110,121434
9948,2,6174874,the Richmond District,0,103,121434
9948,2,6174875,the Richmond District,0,106,121434
9948,2,6174876,the Richmond District,0,109,121434
9948,2,6174877,the Richmond District,0,102,121434
9948,2,6174878,the Richmond District,0,113,121434
9948,2,6174879,the Richmond District,0,112,121434
9948,2,6174880,the Richmond District,0,108,121434
9948,2,6174881,the Richmond District,0,105,121434
9948,2,6174882,the Richmond District,0,111,121434
9948,2,6174883,the Richmond District,0,101,121434
9948,2,6174884,the Richmond District,0,107,121434
9948,2,6174885,the Richmond District,0,104,121434
9948,2,6174886,the Richmond District,0,110,121434
9948,2,6174887,the Richmond District,0,103,121434
9948,2,6174888,the Richmond District,0,106,121434
9948,2,6174889,the Richmond District,0,109,121434
9948,2,6174890,the Richmond District,0,102,121434
9948,2,6174891,the Richmond District,0,113,121434
9948,2,6174892,the Richmond District,0,112,121434
9948,2,6174893,the Richmond District,0,108,121434
9948,2,6174894,the Richmond District,0,105,121434
9948,2,6174895,the Richmond District,0,111,121434
9948,2,6174896,the Richmond District,0,101,121434
9948,2,6174897,the Richmond District,0,107,121434
9948,2,6174898,the Richmond District,0,104,121434
9948,2,6174899,the Richmond District,0,110,121434
9948,2,6174900,the Richmond District,0,103,121434
9948,2,6174901,the Richmond District,0,106,121434
9948,2,6174902,the Richmond District,0,109,121434
9948,2,6174903,the Richmond District,0,102,121434
9948,2,6174905,the Richmond District,0,112,121434
9948,2,6174906,the Richmond District,0,108,121434
9948,2,6174907,the Richmond District,0,105,121434
9948,2,6174943,the Richmond District,0,111,121434
9948,2,6174942,the Richmond District,0,101,121434
9948,2,6174941,the Richmond District,0,107,121434
9948,2,6174908,the Richmond District,0,104,121434
9948,2,6174909,the Richmond District,0,110,121434
9948,2,6174910,the Richmond District,0,103,121434
9948,2,6174912,the Richmond District,0,106,121434
9948,2,6174913,the Richmond District,0,109,121434
9948,2,6174915,the Richmond District,0,102,121434
9948,2,6174916,the Richmond District,0,108,121434
9948,2,6174918,the Richmond District,0,105,121434
9948,2,6174920,the Richmond District,0,101,121434
9948,2,6174921,the Richmond District,0,107,121434
9948,2,6174922,the Richmond District,0,104,121434
9948,2,6174924,the Richmond District,0,103,121434
9948,2,6174925,the Richmond District,0,106,121434
9948,2,6174927,the Richmond District,0,102,121434
9948,2,6174928,the Richmond District,0,105,121434
9948,2,6174929,the Richmond District,0,101,121434
9948,2,6174930,the Richmond District,0,104,121434
9948,2,6174932,the Richmond District,0,103,121434
9948,2,6174933,the Richmond District,0,102,121434
9948,2,6174935,the Richmond District,0,101,121434
9948,3,6175163,California & Presidio,0,105,121435
9948,3,6175085,California & Presidio,0,103,121435
9948,2,6174917,California & Presidio,0,105,121435
9948,2,6174839,California & Presidio,0,103,121435
